premise	hypothesis	prediction	label
After the high emotion of de Gaulle's march down the Champs-Elys??es, the business of post-war reconstruction, though boosted by the generous aid of the Americans' Mar?­shall Plan, proved arduous, and the wartime alliance of de Gaulle's conservatives and the Communist Party soon broke down.	After the split, war followed between the two countries.	2	2
you sound like this girl that i talked to about books and we got into movies one night	You remind me of talking to a girl about books and movies.	1	1
The sooner we strike the better." He turned to Tuppence.	He told Tuppence that they should act now. 	1	1
I did so.	I didn't.	0	0
(Never mind the strictest reading, which supposes that creation took a week.)	The strictest reading supposed that the creation took seven days.	1	1
Since his death it has been transformed into the Bob Marley Museum and carefully managed by the Marley family to protect the memory of his life.	The Marley family burned the museum down after Bob died.	0	0
The average length of a rural route is 55 miles.	100 miles is the average for a rural route.	0	0
For example, the CFO Council and the Office of Management and Budget (OMB) are aggressively working on eight priority initiatives outlined in the1998 Federal Financial Management Status Report and FiveYear Plan.	The CFO Council and the OMB are lax about the priority initiatives.	0	0
In a still faintly Victorian atmosphere, Dinard has preserved all the best assets of a good luxury villas and long, paved promenades, plush hotels, elegant boutiques, discothyques, casino, parks and gardens, and an Olympic-size public swimming pool.	Many rich and famous people have made Dinard their preferred vacation spot through the years.	2	2
The case law is a whole body unto itself.	The case law is a whole entity unto itself.	1	1
For a review of the literature, see William G. Gale and John Sabelhaus, Perspectives on the Household Saving Rate, Brookings Papers on Economic Activity (1:1999), pp. 181-224.	Some resources are available for further information and include Gale/Sabelhaus, Perspectives on the Household Saving Rate, published in 1999.	1	1
The purpose of the Self-Inspection process was to provide programs a means to verify, by reviewing a sample of cases, that their 1999 CSR data satisfies LSC's standards for accuracy.	Self-inspection process can provide programs the ability to verify their accuracy.	1	1
The governing statute provides that a committee consisting of the Comptroller General, the Speaker of the House and President Pro Tempore of the Senate, the Majority and Minority leaders, and the Chairmen and Ranking Minority Members of the Senate Governmental Affairs and House Government Reform Committees recommend an individual to the President for appointment.	No one can recommend an individual to the President for appointment.	0	0
I leap!" And, in very truth, run and leap he did, gambolling wildly down the stretch of lawn outside the long window. 	The man exclaimed that he would leap, and he did just that.	1	1
it takes so much i mean it's like of course it does i mean by the times it transforms into Wave by mark off model and you put it in there and you want to correct those and then you know you're trying to make the the Wave smooth so you can approximately of course it's going to take a lot	It takes a lot.	1	1
yeah and how about how about like on the weekends do you do sports or do you go out	No one plays sports on the weekend.	0	0
Personal Communication with P. Croteau, Babcock Borsig Power, August 2001.	In August 2001, there was personal communication between P. Croteau and Babcock Borsig Power about technology contracts for the coming year. 	2	2
and he's an engineer so he even came over and set it up for me and had it running for like two hundred dollars so i thought that	After he set it up, i took him out to lunch for being so nice.	2	2
The main funding source for Maryland's legal services to the poor has fallen on hard times, and advocates are preparing to seek unprecedented state financial help - even as they keep an eye on a legal challenge that threatens to cut off a main source of funding for such services nationwide.	In this tough economy, primary funding for Maryland's legal aid has suffered and thus seeking special assistance from the state has become necessary.	1	1
Working for Philip Morris isn't like defending an indigent murderer in a death penalty appeal.	Working for a cigarette manufacturer is different from criminal appeals. 	1	1
The narthex, or entrance hall to the nave, is crowned by a magnificent sculpted tympanum of Jesus enthroned after the Resurrection, preaching his message to the Apostles.	The sculpted tympanum of Jesus after the Resurrection was created hundreds of years ago.	2	2
uh-huh uh-huh uh-huh yeah well that's really neat	That's awful.	0	0
I want you to mark him.	He should be let free with no marks on him.	0	0
: Adrin's Third Lesson	Adrin had three lessons.	2	2
So have I for that matter, but I flatter myself that my choice of dishes was more judicious than yours.	My choice of dishes were nothing compared to yours.	0	0
well i hear my kids are needing me again so i'll go see what they need  and we'll maybe talk to you again	My kids are independent and do not need me at all.	0	0
This popular show spawned the aquatic show at the Bellagio.	This popular show is unrelated to the origins of Bellogio's water display.	0	0
uh high humidity	Air with increased water content.	1	1
Are you sure we should take him down there?' Greuze asked Natalia.	Natalia asked Greuze if it was logical to take him down there.	1	1
oh sure sure right um-hum right	Okay sure	1	1
yeah okay you go ahead	No, do not go ahead.	0	0
The analyses utilized different assumptions and generally resulted in smaller expenditure impact estimates than noted above.	The results of the analysis showed private subsidies had a smaller impact than expected.	2	2
The island has a long history; its marble deposits were coveted around the ancient world.	The marble from the island was desirable in ancient times.	1	1
oh i believe that uh mine would say the same uh but uh i seem too rely on them too much	That's believable and mine wouldn't say differently. 	1	1
The tree-lined avenue extends less than three blocks to the sea.	Most of the trees are palm trees.	2	2
Then I considered.	Afterwards, I thought about it.	1	1
An article explains that Al Gore enlisted for the Vietnam War out of fealty to his father and distaste for draft  Gore deplored the inequity of the rich not having to serve.	Gore enlisted during Vietnam.	1	1
Usually, sites for program effects case studies should be selected with great care for criteria such as whether there is evidence that the program has been implemented at the site, whether the site has been subjected to changes that could have the same effects as the program or that could mask its effects, and how the addition of this site to the group of sites being studied supports the generalizability of the findings.	There is no criteria for selecting sites for programs.	0	0
The great thing is to keep calm." Julius groaned.	Julius was silent.	0	0
Endorphins were flowing.	I was very scared and my endorphins were flowing.	2	2
Base year data will be actual receipt and outlay data for the last completed fiscal year	Base year data will be actual receipt and outlay data.	1	1
a 808(2) only applies if the agency finds with good cause that notice and public procedure thereon are impracticable, unnecessary, or contrary to the public interest.	An 808(2) is always applicable to public procedure.	0	0
I like ethnic humor.	I hate racial jokes.	0	0
The mansions have been downgraded to consulates since the capital was transferred to Ankara in 1923, and modern shops and restaurants have sprung up.	The city of Ankara has always been the capital of the nation.	0	0
It is at the moment of maximum audience susceptibility that we hear, for the first time, that the woman was fired not because of her gender but because of her sexual preference.	The woman was fired not for her sexual preference but purely on the basis of gender.	0	0
they might be but not at not at the human factors level	Are they hiring?	2	2
that's true i didn't think about that	You've changed my mind with a new perspective.	2	2
we were talking . Try to behave	We are having an argument, come at me if you dare!	0	0
In the other sight he saw Adrin's hands cocking back a pair of dragon-hammered pistols.	Adrin was seen cocking a pistol in each hand out of the corner of his eye.	2	2
He threw one of them and shot the other.	He shot his gun.	1	1
A good time to visit is just at the end of the monsoon in October when you can see flocks of storks, egrets, and cormorants and it is ideally combined with a full-moon trip to the Taj, but there's plenty to see all year round.	The only good time to visit is in late March.	0	0
For example, computers and related equipment have an estimated annual depreciation rate of 31 percent,7 and new versions of software applications are released every few years.	There is no way to peg an exact life expectancy to equipment.	0	0
The central features of the Results Act-strategic planning, performance measurement, and public reporting and accountability-can serve as powerful tools to help change the basic culture of government.	The Results Act has strategic planning as a central feature for public organizations.	1	1
so i like music i like listening to music so i don't usually listen to KCBI and then there's another one called Journey that's somewhere in between the two of those it's in between ninety and ninety four	KCBI does not play music, so I don't listen to it.	0	0
Technological advances generally come in waves that crest and eventually subside.	Advances in electronics come in waves.	1	1
There are actually three winding roads, or the Grande, the high road, starting out from the Avenue des Diables-Bleus in Nice; the Moyenne, the middle one, beginning at Place Max-Barel; and the Basse, along the coast from Boulevard Carnot, but usually jammed with traffic.	The Basse is a busy, winding road that runs along the coast.	1	1
After their savage battles, the warriors recuperated through meditation in the peace of a Zen monastery rock garden.	The warriors recuperated through mediation learned from monks.	2	2
i voted in the last national one yeah i'm not sure if i got the last local one	I'm not sure if I got to vote in the last local one, but I can ask my friend if he did.	2	2
This is arguably starting to distort the practice of science itself.	The practice of science remained exactly the same.	0	0
If you have any questions regarding this report, please call me at (202) 512-4841.	My phone number is  (202) 512-4841.	1	1
Savonarola burned in Florence	Savonarola was burned in Florence.	1	1
This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.	Thousands of auditors across the country have visited the site in recent weeks.	2	2
Critics complain that John Frankenheimer's miniseries about the Alabama governor and presidential candidate plays fast and loose with history.	Critics believe John Frankenheimer's miniseries is fast and loose with history. 	1	1
But of course the DSM is informed by social values.	Social values play a role in determining the content of the DSM.	1	1
Vrenna looked it and smiled.	Vreanna wore a pleased expression when she saw it. 	1	1
Then he gave in.	He gave in to the pain.	2	2
I should think some one had taken charge of it."	I hope someone took charge of it.	1	1
Two natural rock formations are always pointed out on excursions.	Natural rock formations on visible on excursions.	1	1
Hang it all! said Tommy indignantly.	Tommy was being indignant.	1	1
He did not immediately recognize Tuppence.	He recognized Tuppence immediately.	0	0
um yeah that sounds kind of neat uh is location at all important to you like you know how far it is from your house or whatever	Location doesn't matter to some people but it may matter to you I don't know. 	2	2
and for regular readers who are a bit confused about our schedule (and who can blame them?)	who can blame who is confused about our schedule?	1	1
 Two more weeks with my cute TV satellite dish have increased my appreciation of it.	I've got two more weeks to decided if I wanna keep it or return it.	2	2
The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.	The Haven is a useful resource in the community.	2	2
In a still faintly Victorian atmosphere, Dinard has preserved all the best assets of a good luxury villas and long, paved promenades, plush hotels, elegant boutiques, discothyques, casino, parks and gardens, and an Olympic-size public swimming pool.	Dinard does not have a public swimming pool.	0	0
A 1997 Henry J. Kaiser Family Foundation survey found that Americans in managed care plans are basically content with their own care.	The henry kaiser foundation shows that people hate their healthcare	0	0
The bridge would work for a very short time but the stream isn't a clear defense.	There were too many enemies to use the bridge for long.	2	2
of course you got to charge it and keep your cash	You have to keep your cash and charge it.	1	1
The community courthouse will be held every second Tuesday of the month at Carver at 217 Paso Hondo.	They were grateful to have a place to hold their meetings.	2	2
LSC set a deadline of October 1, 1998, for submission of state planning reports.	LSC set a deadline to submit state reports to make their job easier	2	2
More than half of 800,000 native islanders are children, and the mother is traditionally responsible for bringing them up, handling the money, and making key domestic decisions.	The mothers of native islanders are unhappy because of their role.	2	2
He felt the off-hand dagger's weight in the small of his back.	The knife was still in the sheath.	0	0
Treat yourself and bill it to Si.	Send the bill of your treat to Si. 	1	1
If anyone has a good idea about how to bring back the opinion leaders of yore, I am all for it.	Someone is looking for ideas to bring back the opinion leaders of yore.	1	1
2.5 Financial audits are performed under the American Institute of Certified Public Accountants' (AICPA) generally accepted auditing standards for field work and reporting, as well as the related AICPA Statements on Auditing Standards (SASs) which interpret the standards and provide guidance on conducting such work.	Financial audits are not performed with generally accepted auditing standards.	0	0
Yet Mrs. Inglethorp ordered a fire! 	Mrs. Inglethorp asked for a fire in spite of that.	1	1
You see, he said sadly, "you have no instincts."	I determined to prove him wrong.	2	2
Look out for that overseer up there.	You do not need to worry about that overseer.	0	0
Had we had more money we would have facilitated more conferences.	The reason we did not have more conferences was not a money issue.	0	0
U.S. civil legal services delivery system.	The us civil legal services needs to better their delivery system 	2	2
And he claimed she earned $11,000 a month - or $132,000 a year - from a home quilting business she had owned for 22 years.	He claimed that she had a home quilting business that made $132,000 each year.	1	1
(Cohen 1999) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies.	Many observers view it an extreme step to lower costs and increase efficiencies. 	1	1
It describes six applications of case study methods, including the purposes and pitfalls of each, and explains similarities and differences among the six.	There are six applications for case study methods.	1	1
i think yeah and it's a just a nice escape and you know it's something to laugh at and enjoy	It's so serious that it doesn't provide any escape.	0	0
Diamonds are graded from D to X, with only D, E, and F considered good, D being colorless or  river white,  J  slightly tinted,  Q  light yellow,  and S to X  yellow.  	The most expensive diamonds on the planet are graded with D.	2	2
On the northwestern Alpine frontier, a new state had appeared on the scene, destined to lead the movement to a united Italy.	The new Alpine state was destined to unite Italy.	1	1
approaches to achieving missions vary considerably between agencies.	Approaches to achieving missions might change a lot from the FDA to the IRS.	2	2
Companies that were foreign had to accept Indian financial participation and management.	Foreign companies had to take Indian money in order to operate their businesses.	2	2
Tom is the winner of a year's supply of Turtle Wax, and he will receive his prize just as soon as the Shopping Avenger figures out how much Turtle Wax actually constitutes a year's supply.	There are no winners of the one year supply of Turtle wax.	0	0
The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.	Individual reports that focus on its component units wouldn't include the data.	1	1
IRS Restructuring and Reform Act, its budget requests, and administration of various tax	Containing IRS Restructuring and Reform Act, its budget requests, and administration of various tax	1	1
See you Aug. 12, or soon thereafter, we hope.	The person was going to attend on August 12.	2	2
in well i think i think my long-term sense of of budget concerns is that we're going is a lot of others government's spending goes on goes towards this uh health care and things like that and a lot of causes of poor health or need for health care are brought about by various factors such as such as pollution stress you know work work environment conditions and so forth but generally the government is	The government spends very little on health care.	0	0
To address these concerns, we supplement our Base Estimate of benefits with a series of sensitivity calculations that make use of other sources of concentration-response and valuation data for key benefits categories.	Some scenarios allow for supplemental data to be used in lieu of primary data.	1	1
Ocho Rios is Spanish for  eight rivers,  but this name is not descriptive of the area.	"Ocho Rios" means eight rivers in Spain's national language.	1	1
well that's not why i got it right  how do you like your tread mill	I got it because it was on sale.	2	2
STANDARD COSTING - A costing method that attaches costs to cost objects based on reasonable estimates or cost studies and by means of budgeted rates rather than according to actual costs incurred.	This costing model is based on research and analytical activity.	1	1
The sculpture on the dome (a personification of Commerce) and the river gods (including Anna Livia, set over the main door) are by Edward Smyth, who was also responsible for the statues on the GPO .	The dome has a sculpture on it.	1	1
what was the problem	Was the problem easy to fix?	2	2
There is simply no historical precedent for a large empire calling it quits because it could not compete economically or technologically.	Greece will be the first empire to quit because it couldn't compete economically.	2	2
probably yeah i would imagine the judge could throw it out	I would guess that the judge would be able to toss that out.	1	1
The Office of Information and Regulatory Affairs of OMB approved the	Something was approved by the office of affairs.	1	1
Though he abstains from showbizzy campaigning, he markets his virtue and exploits his legend.	He is not capable to market his virtue, exploiting his legend.	0	0
To help ensure the success of GPRA, the CFO Council, which the CFO Act created to provide the leadership foundation necessary to effectively carry out the Chief Financial Officers' responsibilities, established a GPRA Implementation Committee.	The GPRA was successful. 	2	2
It was going to be a hot day. 	It was already hot and was going to get hotter.	2	2
The book is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with equal pomposity.	The book has quotes from various people including Lincoln and Jefferson.	1	1
well so okay you need to get married and have kids and then when they're big enough you can have them go do the yard  and you can do what you want to do	Children are never too young to do yardwork.	0	0
But, Slate protests, it was [Gates'] byline that appeared on the cover.	Slate said that it was definitely not Gates' byline on the cover.	0	0
Well, she's found.	She remains hidden. 	0	0
Built in a.d. 715 to help measure the peak and trough of the Nile flood.	It said the Nile flood was 12 feet deep.	2	2
iii Program Letter 1998-1, published on February 12, 1998, called upon all LSC recipients to analyze any progress made toward the development of the legal services model envisioned by state planners.	All models are subject to analysis.	1	1
Pro-choicers point out that these close-up images literally cut the fetus's context--the woman--out of the picture.	Pro-choices say the close-up images are unfair to women.	2	2
Then it occurred to me that the criminal standard was a low one.	I then realized that criminals have small ideals, and only care about themselves and others like them.	2	2
the net cost of operations.	That's the operational cost.	1	1
