premise	hypothesis	prediction	label
Despite all the hoopla over a pro-choice advocate's confession that he had lied about the circumstances under which the procedure is generally used, only five lawmakers switched their votes from no to yes.	The pro-choice advocate's admission to lying about the circumstances of the procedure didn't seem to matter to most lawmakers.	2	1
The sunlight, piercing through the branches, turned the auburn of her hair to quivering gold. 	When the sunlight pierced through the branches, her hair turned a darker shade of red.	1	0
i wish it was as good over here as it is over there but if you're the	I wish it was as good here as there.	2	1
Here you'll find the finest leather goods and of-the-moment fashions from all the predictable high-priests (Valentino, Armani, Versace, Gucci, Missoni, etc. ). A number of classic men's clothing meccas such as Cucci (with a C), Brioni, and Battistoni are still going strong.	The Gucci and Versace stores have been locked in fierce competition to capture the hearts and minds of our guests.	1	2
This whole unsavory episode brings back memories of skits with Monty Python ! One of my favorite lines was, You are guilty of six--no, seven--charges of heresy.	This episode reminds me of Mean Girls.	1	0
'I don't know what happened, exactly.' I said.	I knew what had happened.	2	0
yeah i know because uh all i know is that when i came here in eighty seven they still had uh it was the last year to to put all your punch cards in	When I first started in the eighties you had to use punch cards.	2	1
I had an additional reason for that belief in the fact that all the cups found contained sugar, which Mademoiselle Cynthia never took in her coffee. 	Mademoiselle Cynthia always took lots of sugar in her coffee.	2	0
He watched San'doro silent in his thoughts.	San'doro was watched as he left the village.	0	2
The first, reached from Luxor, is Esna, 54 km (33 miles) by road.	Esna is located 54km away from Luxor.	0	1
Steps are initiated to allow program board membership to reflect the clienteligible community and include representatives from the funding community, corporations and other partners.	The board includes those from the funding community and corporations.	2	1
Up here, gazing out at strikingly lush mountains, you may find yourself higher than the clouds, which adds to the extraordinarily eerie atmosphere of the place.	This spot is a local secret, most tourists have never discovered it.	0	2
The tip was hooked towards the edge, the same way the tips are hammered for knives used for slaughter.	They were weapons used to kill.	2	1
She was taken to the infirmary, and on recovering consciousness gave her name as Jane Finn.	The hospital believed that her name was Jane Finn.  	1	2
The new rights are nice enough	Everyone really likes the newest benefits 	0	2
A conventional siege was useless against such a seemingly impregnable rock, however, and with so much food and water the Zealots could not be starved into submission.	The rock was impossible to get past, so a conventional siege didn't do much.	2	1
A 1994 Roper Poll concluded that the NewsHour is perceived by the public as the most credible newscast in the country.	A 1984 Poll concluded NewsHour is seen as the most credible newscast by the public.	2	1
The advent of the Bronze Age (about 3200 b.c. ), and the spread of city-states ruled by kings, is marked by the appearance of royal tombs containing bronze objects in such places as Troy in the west, and Alacah??y??k near Ankara.	The bronze age started over 5000 years ago.	2	1
But although the 60 Minutes producer is played by the star (Pacino grandstands, but not to the point of distraction), Bergman's story doesn't have the same primal force.	The producer is played by Harrison Ford.	1	0
Similar conclusions have been reached by state legal needs' studies in a dozen states including Florida, Georgia, Hawaii, Illinois, Indiana, Kentucky, Maryland, Massachusetts, Missouri, Nevada, New York, and Virginia, using a variety of methodologies for estimating the unmet legal needs of the poor.	 Similar conclusions have been seen across the world	1	2
uh right now we're actually having uh it's getting nice i mean it was in the high fifties today but three and a half weeks ago we had an ice storm	The weather has been getting warmer in the past few weeks.	2	1
IDPA's OIG's mission is to prevent, detect, and eliminate fraud, waste, abuse, and misconduct in various payment programs.	IDPA's OIG's mission is to take care of the forests.	1	0
This formal Review Process guarantees representatives of every designated state planning body the right to direct communication with LSC officials at the highest level in seeking reconsideration of an LSC decision.	The formal Review Process guarantees representatives get a free meal.	1	0
and i'll go there for you know two months straight we won't go anyplace else	I'll go there for two months straight, we won't go anywhere else.	2	1
The state legislature provides significant bipartisan support for the legal services delivery system.	Legal delivery is wonderful in the state	1	2
Normally, these discussions are kept secret.	In usual circumstances, what is said is not to be shared..	0	1
A group of guys went out for a drink after work, and sitting at the bar was a real  a 6 foot blonde with a fabulous face and figure to match.	A stunning six foot blonde woman sat at the bar with the men after work. 	2	1
George W. Bush and Bill Bradley are not talking about individual holders of wealth.	George W. Bush and Bill Bradley are not talking about individual holders of wealth because they don't matter at all.	0	2
The credibility of the United States working with its European partners in NATO is on the line.	The United States currently enjoys high favorability among its European allies who trust it completely.	2	0
Many restaurants and bars have live music.	Most restaurants and bars do not have a musical element.	2	0
Castlerigg near Keswick is the best example.	A good example would be Castlerigg near Keswick, in Scotland.	1	2
'Not entirely,' I snapped, harsher than intended.	I spoke more harshly than I wanted to. 	2	1
Strange as it may seem to the typical household, capital gains on its existing assets do not contribute to saving as measured in NIPA.	The increased equity of a house may not be considered as savings by NIPA.	2	1
Even though national saving remains relatively low by U.S. historical standards, economic growth in recent years has been high because more and better investments were made.	Americans are not saving much.	0	1
I could've afforded a much swankier, up-town place- or at least, a slightly swankier, mid-town place- but all that space would just encourage me to clutter.	I could have had a bigger place but then I would have clutter.	2	1
and uh my daughter gets irate when i when i do that because you know she's a teenager	My daughter does sometimes have reason to be upset.	1	2
St. Barts, of course, is completely undefended.	There has never been a need to defend St. Barts.  	0	2
From the Index: Average number of public school students expelled each school day last year for gun  34.	The number of school students expelled is dependent on the availability of guns.	1	2
One opportunist who stayed was Octavius Decatur Gass.	Octavius described himself as an opportunist often. 	1	2
away from the children	No adults allowed near the children	0	2
However, assuming the procedural requirements of Chapter 36 are met, changes negotiated by the Postal Service and a mail user for their mutual benefit may merit recommendation under the applicable statutory standards.	Changes negotiated by the Postal Service are too regular and prohibit my postal services.	2	0
Charles Geveden has introduced legislation that will increase the Access to Justice supplement on court filing fees.	Charles Geveden insisted on keeping the supplement at the same amount.	1	0
uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him	I think he is good, but not the best.	1	2
and uh uh so i've i've just been real pleased and my step father happens to work at a Ford dealership and that makes things a little easier come car time but	He's able to get me a 20% discount.	1	2
IDPA's OIG's mission is to prevent, detect, and eliminate fraud, waste, abuse, and misconduct in various payment programs.	IDPA's OIG's mission is clear and cares about payment programs.	0	1
But if banks, airlines, and communications companies accept key recovery, the terrorists will risk potential exposure every time they do business with those institutions.	Banks, airlines, and communications companies support terrorists.	1	2
The remaining parts of the north, although enticing, are difficult to explore.	The rest of the north presents a steep challenge.	0	1
The riotous revelry roars right past Mardi Gras (Shrove Tuesday) when red-costumed children star as devils, to its peak on Ash Wednesday.	Mardi Gras is also sometimes known as Shrove Tuesday.	2	1
oh i've never itemized yet	I always itemize.	2	0
Extremely limited exceptions to the authority are established in 31 U.S.C.	The authority had a vast range of exceptions.	1	0
Ramses II did not build it from stone but had it hewn into the cliffs of the Nile valley at a spot that stands only 7 km (4 miles) from the Sudan border, in the ancient land of Nubia.	It was carved out of the cliffs of the Nile Valley and not made of stone.  	0	1
facilitate suits for benefits by using the State and Federal courts and the independent bar on which those courts depend for the proper performance of their duties and responsibilities.	Federal refers to national and state refers to local, duties and responsibilities may vary between Federal and State levels.	1	2
and so i have really enjoyed that but but there are i do have friends that watch programs like they want to see a particular program and they are either home watching it or definitely recording it they have some programs that they won't miss	What programs do your friends like to watch?	1	2
And Doctor Perennial just stood there and when the evil drill sergeant woke up in him once again, he received an SMs.  	Doctor Perennial was sitting down when the evil drill sergeant walked up to him and delivered a letter. 	1	0
Because of the casualties, Lind says, the United States would eventually have had to leave Vietnam anyway.	Lind thought that enough soldiers would die that the US would have no choice but to leave.	2	1
The Kal tangled both of Adrin's arms, keeping the blades far away.	Adrin's arms were tangled, keeping his blades away from Kal.	0	1
No one was there, no bones at all.	There were many bones in a pile.	2	0
And truly, the father was right, his son had already experienced everything, tried everything, and was interested in less and less.	The father knew that there was still a lot for his son to experience.	2	0
I was to watch for an advertisement in the Times.	I was anticipating an ad in the newspaper. 	2	1
The red moon made her skin glow.	Her skin was painfully glowing from the red moon.	1	2
Anyway, thank you very much for trying to help us.	We appreciate that you tried hard to help us, even if it didn't work.	1	2
The contrast between the landscape of the central highlands and the south coast could not be more marked.	The contrast between the highlands and the coast were easily marked.	2	1
This town, which flourished between 6500 and 5500 b.c. , had flat-roofed houses of mud and timber decorated with wall-paintings, some of which show patterns that still appear on Anatolian kilims.	The houses in this town are run down and made from mud.	0	2
oh  that's accommodating	That is disruptive.	1	0
11 These departures permit them take advantage of the lower cost of living as well as to be reunited with their spouses and children.	The departures help them take advantage of the high cost of living in other areas.	2	0
Even the lower limit of that differential compounds to a hefty sum over time.	The small number will go into a larger sum over time.	2	1
they'll they'll say yeah why didn't you buy why didn't you try something more mainline	They'll wonder why you didn't do a more mainline clothing line.	1	2
See you Aug. 12, or soon thereafter, we hope.	The person told not to come until December.	2	0
It focuses on desktop, client/server, and enterprisewide computing.	Cloud computing may be a serious challenge to desktop market.	1	2
the only problem is it's not large enough it only holds about i think they squeezed when Ryan struck out his five thousandth player they they squeezed about forty thousand people in there	It holds 70,000 people.	1	0
I thought working on Liddy's campaign would be better than working on Bob's.	Turns out, I was wrong and wished I had worked on Bob's campaign.	0	2
Mykonos has had a head start as far as diving is concerned because it was never banned here (after all, there are no ancient sites to protect).	Protection of ancient sites is the reason for diving bans in other places.	1	2
The information provided in this guide is current as of the date of this publication.	The guide is outdated.	2	0
GQ editor Art Cooper reportedly received two $1-million loans, one for a Manhattan apartment, the other for a Connecticut farm.	Art Cooper used a substantial sum of money to buy a farm.	2	1
And if, as ultimately happened, no settlement resulted, we could shrug our shoulders, say, 'Hey, we tried,' and act like unsuccessful brokers to an honorable peace.	Neither side is actually interested in a settlement at this time.	0	2
From that spot she could see all of them and, should she need to, she could see through them as well.	She could see through the ghosts with ease.	0	2
Her voice was doubtful.	Her voice was ironclad and radiated confidence.	1	0
once you have something and it's like i was watching this program on TV yesterday in nineteen seventy six NASA came up with Three D graphics right	The program aired on PBS.	1	2
and the NIT semifinals are on tonight	The NIT semifinals are held early in the morning on September 1.	1	0
For such a governmentwide review, an entrance conference is generally held with applicable central agencies, such as the Office of Management and Budget (OMB) or the Office of Personnel Management.	An entrance conference is held with specialized agencies.	1	0
in each square	On the inside of every square except the corners.	0	2
If anyone has a good idea about how to bring back the opinion leaders of yore, I am all for it.	No one has any good ideas.	0	2
Most recently, GAO reviewed activities of the White House China Trade Relations Working Group, which was established at the request of President Clinton in the exercise of his Constitutional powers.	President Clinton wasn't exercising his Constitutional powers when he made the request.	2	0
 Many restaurants and cafes welcome children.	Children are great to take along with you to the many restaurants and cafes.	2	1
The first, reached from Luxor, is Esna, 54 km (33 miles) by road.	The only way to get to Esna is by car.	0	2
Mykonos has had a head start as far as diving is concerned because it was never banned here (after all, there are no ancient sites to protect).	Diving was banned in places other than Mykonos.	2	1
Back to the subject of celebrity interviews, British magazines have published a huge number with actress Kate Winslet, the star of Titanic , to promote a new British film she has made.	British magazines interviewed Kate Winslet 37 times in 2008.	1	2
I admit I have knowledge of a certain name, but perhaps my knowledge ends there."	Perhaps a tip would help refresh my memory?	1	2
However, if people can readily withdraw money from tax-preferred accounts for purposes other than retirement, there is no assurance that tax incentives would ultimately enhance individuals' retirement security.	If people can readily withdraw money from tax-preferred accounts for purposes other than retirement, there is no assurance that tax incentives would improve retirement security.	0	1
Crosethe Rue de Rivoli to the Palais-Royal, built for Car?­di?­nal Richelieu as his Paris residence in 1639, and originally named Palais-Cardinal.	Crosethe Rue De Rivoli to the Palais-Royal was built for King Louis XVI.	1	0
He married Dona Filipa Moniz (Perestrelo), the daughter of Porto Santo's first governor, and lived on the island for a period, fathering a son there.	He landed on the island but soon left for greener pastures, before later dying alone and childless.	2	0
and it just depends on how bad that person is	It depends on the condition of the dog.	1	0
Keep young skins safe by covering them with sunblock or a T-shirt, even when in the water.	Sunblock is an unnecessary precaution if you are in the water.	1	0
Saint-Th??gonnec is an outstanding example, its triumphal arch setting the tone for the majestic calvary of 1610.	Both the triumphal arch and the calvary were built in 1610.	1	2
The museum is well laid out and the perfect size for relaxing away a couple of hours on a wet day.	The museum is well designed and just the right size for taking up several hours on a wet day.	2	1
well wonderful that'll be a musician	That won't be someone who plays music. 	1	0
As a counterweight to the Singapore Chinese, he would bring in the North Borneo states of Sabah and Sarawak, granting them special privileges for their indigenous populations and funds for the development of their backward economies.	The states of Sabah and Sarawak committed mass genocide of their indigenous populations.	1	0
oh hum well uh i haven't for some reason have never really gotten enthused about football in the summer from from the the World League	I don't get enthused about other summer sports.	1	2
oh of course	Of course she will 	1	2
GAO also issued over 160 reports detailing specific findings and made over 100 recommendations to agencies and to the President's Council on Year 2000 Conversion for improving the government's readiness.	The GAO issued roughly 170 reports about specific findings.	1	2
The great attraction of the church is the splendid exterior, which is crowned by golden onion-shaped cupolas.	The interior of the church, while still lovely, is much plainer.	0	2
In the moment of victory, Tuppence betrayed a somewhat unsportsmanlike triumph.	Tuppence ended up losing.	1	0
Last year, that campaign - primarily among private attorneys - drew less than $40,000 while the Nashville legal aid fund-raising garnered more than $500,000.	The Memphis campaign was tiny compared to Nashville's 	0	2
they don't call them immigrants anymore that was back during my granddaddy's day	Now they call them tourists.	1	2
Summer boasts long, warm days with strong sunlight and hazy views.	You should pack a sweater and other warm clothing if you visit during the cool Summer months.	1	0
They have prominent red protuberances and may have been named after the British redcoats.	They were named after the British redcoats.	0	2
He could make quite an issue out of the need to determine the characteristic impedance of their sky.	He could have made an issue, but did not	1	2
Black professionals braid their hair to display their ethnic pride.	Blacks braid their hair because they're forced to.	2	0
Only trouble was, they had infinite ammunition...we only had so many bullets.	We had the advantage of having more bullets than them.	1	0
But when he was persuaded by divers means to help us, he gave up after one week, declaring it beyond his powers.	He solved the issue within seven days, because he was so smart.	2	0
yeah and they've got those bins that just stay there and they decorated them real cute you know with a bunch of big old flowers and stuff	The bins just stay there and are decorated.	0	1
no never heard of it	It was a popular type of latex house paint.	2	0
The dramatic cliffs of the Serra de Tramuntana mountain range hug the coastline of the entire northwest and north, from Andratx all the way to the Cape of Formentor.	Andratx is on the northwest coast and the Cape of Formentor is further east.	1	2
uh wasn't that Jane Eyre no he wrote Jane Eyre too	Was it Jane Eyre or not?	0	1
An article explains that Al Gore enlisted for the Vietnam War out of fealty to his father and distaste for draft  Gore deplored the inequity of the rich not having to serve.	Gore enlisted in the Army.	1	2
Control activities occur at all levels and functions of the entity.	There are numerous different control activities.	1	2
We'll be the first to admit we make mistakes, but most of those are bureaucratic.	We make errors sometimes, and we have no problem admitting it.	0	1
The younger girl ran screaming to her.	The young girl stood frozen in her place. 	1	0
They greeted her and she smiled shyly back.	They said "Hello!" when they saw her.	0	2
We are concerned that the significant emissions reductions are required too quickly.	We're concerned about emissions reducing too quickly. 	2	0
The Passaic office is refusing to join in that reconfiguration, which goes into effect Jan.	It will be reconfigured in March. 	2	0
they don't i don't i don't work at TI	I work at Boeing instead of TI.	0	2
it was really easy i mean just just did a thumb print you know	I did a thumb print, that was very easy., you know?	0	1
Ca'daan felt his skin get hot and unable to come up with any suitable response, moved on.	Ca'daan was getting sunburned.	1	2
i know that you know the further we go from Adam the worse the food is for you but God still somehow makes us all be able to still live i think it's a miracle we're all still alive after so many generations well the last couple of processed foods you know i mean but i don't know i like to i like to my i like to be able to eat really healthy you know what am saying and i guess i'm going to have to wait for the millennium i think though because i do don't think we're going to restore the earth to you know i think Jesus is the only one that can make this earth be restored to what it should be	It is miraculous God still provides for us to this day.	0	1
In Loco Parentis Returnus	Located in Loco Parentis.	1	2
okay movies i've i haven't seen too many lately i have kids and we went and saw The Rescuers Down Under over the the break do do you have kids you take to movies or	I took my kids to see the movie The Rescuers Down Under.	2	1
Jon was fighting at full speed, sweat forming on his brow.	Jon was sweating from his brow.	2	1
Yet, despite the stock market boom of the 1990s, many households have accumulated little, if any, wealth (see figure 1.3), and half of American households did not own stocks as of 1998.	The stock market boom of the 1990s led to explosive wealth accumulation in most households.	2	0
right and uh there's usually nobody running against you know the incumbents	There are numerous candidates running against the incumbents.  	2	0
His plan was to drive straight up to the house.	He had planned to drive a block away from the house and slowly creep up.	2	0
Sultan Abdul Hamid II (1876 1909) tried to apply absolute rule to an empire staggering under a crushing foreign debt, with a fragmented population of hostile people, and succeeded only in creating ill will and dissatisfaction amongst the younger generation of educated Turks.	Sultan Abdul Hamid II was universally admired by educated young Turks.	2	0
Without the discount, nobody would buy the stock.	Nobody would buy the stock if there wasn't a discount, except Maria.	0	2
It is not possible to walk up through the water as at Dunn's River, but steps have been erected at the side of the water to take you to a platform at the foot of the first cascade.	Just as at Dunn's River, you can wade up through the water to the platform.	1	0
They drive it around the country in a dilapidated ice-cream truck trying to keep it cool.	They used an ice cream truck to try and keep it from getting warm.	2	1
She's smiling but her eyes are closed.	Her eyes widened as she smiled.	1	0
What idiots girls are! 	Girls can put emotions ahead of logical thought, giving the appearance of idiocy.	1	2
At Kansas City Power and Light's Hawthorn Power Station, Unit 5 was replaced (excluding turbine) in under 22 months.	It took three years to replace Unit 5.	2	0
She was a very good mistress to me, sir.	She was a bad mistress. 	1	0
We make simulacra out of mandrakes--like the manicurist in the barber shop.	The manicurist does great work. 	0	2
In 392 the Emperor Theodosius proclaimed Christianity to be the official religion of the Roman Empire, and on his death in 395 the empire was split once more, between his two sons, and was never again to be reunited.	In 392 the Emepor Theodosius proclaimed Islam to be the official religion of the Roman Empire.	1	0
Recent SAB deliberations on mortality and morbidity valuation approaches suggest that some adjustments to unit values are appropriate to reflect economic theory (EPA-SAB-EEAC-00-013, 2000).	Economic theory is the deciding factor when it comes to valuation.	2	1
They returned to live in the Galilee village of Nazareth, making pilgrimages to Jerusalem.	They lived in Jerusalem but would make pilgrimages to Galilee.	2	0
I hope that our common interests will lead us to a consensus - one that will provide the country with significant benefits.	it is not hoped that the common interests will lead us to a consensus.	2	0
Not yourself.	Not you	0	1
More detailed implementation plans also will be necessary to address business system, processes, and resource issues.	Plans are complex 	1	2
An organization's activities, core processes, and resources must be aligned to support its mission and help it achieve its goals.	A company's mission can be realized even without the alignment of resources.	2	0
The Implementation of National and European Legislation Concerning Air Emissions from Large Combustion Plants in Germany	Germany has large combustion plants.	2	1
Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.	Users have since reported finding that the grant application process is much more streamlined.	0	2
In the first instance, IRS would have no record of time before the person could get through to an agent and of discouraged callers.	The IRS has to get a record of the time.	1	2
Excellent reviews for the collaboration between two of the '90s' most acclaimed jazz saxophonists.	The concert by the two saxophonists drew raves from critics.	2	1
What idiots girls are! 	They thought the girls were stupid.	2	1
Mack Lee, Body Servant of General Robert E. Lee Through the Civil War , published in 1918.	The book was published in the 21st century.	1	0
Hey, no problem, a fine policy.	No trouble, the best policy.	0	2
'I see.'	It was clear	0	2
Component modularization and prefabrication off-site can reduce the amount of time cranes are needed on a site, as well as provide opportunities to reduce project schedules and construction costs and to concentrate jobs locally at the prefabrication facility.	When work is done off-site, such as prefabrication, it increases the time cranes are need on a site and raises construction costs.	1	0
My body is to me like a crippled rabbit that I don't want to pet, that I forget to feed on time, that I haven't time to play with and get to know, a useless rabbit kept in a cage that it would be cruel to turn loose.	I am anorexic.	1	2
Friendly staff.	The staff is rude to their customers.	2	0
To assist programs with implementing these web sites, the Northwest Justice Project and ProBonoNet in New York are hiring two full-time circuit riders to assist grantees with content management and to ensure that each web site supports the entire state justice community.	The Northwest Justice Project and ProBonoNet in New York will fire more people.	2	0
In fact, European nations need to do some serious fiscal housecleaning.	European nations have a lot of wasteful spending practices.	1	2
And if they did come, as remote as that is, you and your men look strong enough to handle anything.	The men were warriors.	1	2
well that's good that's great	I can't believe that actually happened.	1	2
Most traditional reform options involve workers paying more for promised benefits or getting lower benefits.	Under many accepted options workers are left with increasing payments or receiving fewer benefits.	2	1
You have to walk through it).	Walking is the best way to get through it.	2	1
GAO secures all information obtained during the course of its work.	The information obtained by the GAO is unsecure.	1	0
Escaped or abandoned raccoons have been breeding in the wild for the past 20 years and have damaged corn crops, watermelon and melon farms, and rainbow trout hatcheries, the paper said.	Raccoons, if they are abandoned, tend to damage things- this is what has been happening for the past 20 years.	2	1
Basically, to sell myself.	To sell myself, basically.	2	1
oh really yeah i've i've never seen either one of them	I've seen them both many times.	2	0
This is my old friend, Monsieur Poirot, whom I have not seen for years."	Monsieur Poirot is someone I used to work with back in college. 	1	2
In a still faintly Victorian atmosphere, Dinard has preserved all the best assets of a good luxury villas and long, paved promenades, plush hotels, elegant boutiques, discothyques, casino, parks and gardens, and an Olympic-size public swimming pool.	Dinard maintains a Victorian sensibility while also including luxury elements.	2	1
Fixing current levels of damage would be impossible.	Fixing the damage could never be done.	0	1
He reverted to his former point of view.	He had new views.	2	0
Previously, at the request of the Republican Ranking Minority Member of the House Committee on Government Operations, GAO reviewed activities of President Clintonas Task Force on Health Care Reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations.	The reviewing has been taken place without the request of the Republican member previously.	2	0
The Kal nodded.	The Kal then shook its head side to side.	1	0
Jon drew it out and stabbed again in the man's throat.	Jon wiped the blade after stabbing the man in the throat.	1	2
no i i even i enjoy reading T News i try to catch it because it's another example they just they just show you the words and the facts and they they don't offer any commentary and it gives me a quick chance to to be caught up during the day because you know we don't listen to the radio at work at all so i don't like to go the whole day without hearing anything	I always check my phone for the news when I am on break.	1	2
well they're so close to an undefeated undefeated season they can taste it and they wanna make history so i don't think they're gonna lack for motivation	Unless they suffer any losses, they'll remain motivated.	1	2
His voice was even and calm, not a hint of rage.	He was very mellow.	0	1
And truly, the father was right, his son had already experienced everything, tried everything, and was interested in less and less.	His son was losing interest in everything.	0	1
Some of the salesladies at this colorful, soft-sell market wear traditional Martinique costumes.	Wearing traditional Martinique costume provides a sense of authenticity and legitimacy.	1	2
If you still want to join, it might be worked.	Your membership is the only way that this could work.	0	2
Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.	Current generations' increased saving would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.	2	1
so you know it's something we we have tried to help but yeah	We did what we could to help.	0	1
yeah uh-huh but we look at it sort of as an investment in the future too	We also see it as a future investment.	2	1
 The tents had been burned, but there was a new building where the main tent had been.	The tents were in the way of the building.	1	2
He dismounted and Ca'daan saw he was smaller than the rest.	He was shorter than the others.	2	1
Bars with views and live music include Sky Lounge in the Sheraton Hotel and Towers, Tsim Sha Tsui; and Cyrano in the Island Shangri-La in Pacific Place.	It is not far to go to find good drink, gorgeous views, and live music. 	0	2
Michael B. Wachter of the University of Pennsylvania and his colleagues conclude that there is a wage and fringe benefit premium for the postal bargaining labor force of 29.	Wachter works for University of Chicago.	1	0
The park on the hill of Monte makes a good playground, while the ride down in a wicker toboggan is straight out of an Old World theme park (though surely tame for older kids).	the park on the Hill of Monte is only for children.	0	2
um pardon me	Sorry I burped, excuse me.	1	2
Massive tidal waves swept over Crete, and other parts of the Mediterranean, smashing buildings and drowning many thousands of people.	The waves came with no warning to the inhabitants.	0	2
I have to tell you, I tried to understand it.	I have figured it out.	1	2
A silver revolver.	The revolver was loaded.	1	2
Emissions will be cut from current emissions of 48 tons to a cap of 26 tons in 2010, and	Most emissions are from gas guzzling SUVs and airplanes.	1	2
Puppet Shows.	Free puppet shows	0	2
Transforming Control of Public Health Programs Raises Concerns (	The health program transformation is bad. 	0	2
well i i'm doing computer science computer engineering	I switched my major last semester.	1	2
no i i even i enjoy reading T News i try to catch it because it's another example they just they just show you the words and the facts and they they don't offer any commentary and it gives me a quick chance to to be caught up during the day because you know we don't listen to the radio at work at all so i don't like to go the whole day without hearing anything	We are bombarded with the news all day that when I get home I need to turn it off.	1	0
Along with each step, certain practices proved especially important to the success of their efforts.	Certain practices were really important to their efforts	2	1
It was stated that auditors frequently leave the profession early in their careers to join clients, and that over half of CPAs are not practicing public accounting.	Auditors stay in the career for a long time.	2	0
But they reached a shrubbery near the house quite unmolested.	Try as they might, they could not reach the shrubbery unmolested.	2	0
Around 1500 b.c. , a massive volcanic eruption at Santorini destroyed not only Akrotiri under feet of ash and pumice but the whole Minoan civilization.	The entire Minoan civilization was destroyed by a volcanic eruption.	2	1
As previously noted, we published new independence standards dealing with non-audit/consulting services when the AICPA failed to act.	The AICPA failed to act and we were forced to intervene.	0	2
In the small marina you can eat while surrounded by expensive boats.	Everyone in the small marina owns a boat.	0	2
If she didn't like her restaurant so much, the woman'd be high-up in Applied by now.	She liked her restaurant a lot.	2	1
'I don't suppose you could forget I ever said that?'	I hope that you can remember that forever. 	2	0
NHTSA noted that the only other possible interpretation of section 330 was to treat the phrase standards promulgated . . . prior to the enactment of this section as	The only other possible interpretation of section 330 was to treat the phrase standards promulgated, as noted by NHTSA.	2	1
all right thanks bye bye	hello stop upsetting me	1	0
Penrith and Blencathra are also Celtic names, established during this early period of settlement.	Penrith and Blencathra are the names of Celtic queens.	1	2
The primary screen must be integrated into the standard intake procedure of the emergency setting and must be the responsibility of the staff to administer to all patients.	The primary screen is the responsibility of the staff to be given to all patients.	2	1
well what is it	Is it popular?	1	2
