word;neg_count;pos_count;neg/tot;total
in birthday;1;1;0.5;2
insults;11;26;0.297;37
is filled with;3;0;1.0;3
no place;7;52;0.119;59
no satisfaction;1;4;0.2;5
original in;4;2;0.667;6
at some;1;1;0.5;2
does such;2;2;0.5;4
half baked;1;1;0.5;2
half but;1;1;0.5;2
he gets;2;1;0.667;3
about changing;8;23;0.258;31
apart;1;0;1.0;1
at the time;1;2;0.333;3
bluster;1;0;1.0;1
but it has;1;0;1.0;1
but it holds;1;0;1.0;1
every conceivable;5;9;0.357;14
every corner;4;5;0.444;9
evidence;9;12;0.429;21
from new;2;0;1.0;2
graceless;3;8;0.273;11
here you;7;12;0.368;19
ireland;4;2;0.667;6
life or;2;10;0.167;12
like the work;2;3;0.4;5
look much;23;72;0.242;95
man quest;4;20;0.167;24
man quest to;1;2;0.333;3
master of;3;3;0.5;6
much longer;4;5;0.444;9
of either;2;2;0.5;4
of serial killers;2;10;0.167;12
of war;6;18;0.25;24
people already;27;67;0.287;94
aged romance;1;1;0.5;2
already be;1;0;1.0;1
bros;4;14;0.222;18
dish;2;0;1.0;2
effectively creepy;11;27;0.289;38
effort in;1;0;1.0;1
flicks go;20;70;0.222;90
huston;1;0;1.0;1
hypocrisy of;5;5;0.5;10
in its complexity;1;11;0.083;12
in its execution;1;0;1.0;1
in which we;2;5;0.286;7
in word;1;2;0.333;3
more attention;2;3;0.4;5
movie is little;1;1;0.5;2
nine queens;7;4;0.636;11
ninety minutes;1;2;0.333;3
one long;1;0;1.0;1
perfectly acceptable;8;7;0.533;15
perform;1;2;0.333;3
poet;4;15;0.211;19
aspirations;3;2;0.6;5
don be fooled;21;45;0.318;66
drink;27;76;0.262;103
drowns out the;1;0;1.0;1
for much;1;2;0.333;3
for much of;1;0;1.0;1
for national;1;0;1.0;1
gets;1;3;0.25;4
good;3;9;0.25;12
good acting;1;1;0.5;2
is notable for;1;0;1.0;1
its contrivances;1;3;0.25;4
obnoxious;2;9;0.182;11
assembled;18;35;0.34;53
depiction of the;5;8;0.385;13
down to the;12;24;0.333;36
it almost worth;3;7;0.3;10
it tells;2;2;0.5;4
need to be;2;2;0.5;4
perception;1;0;1.0;1
played in;2;0;1.0;2
and forth;2;7;0.222;9
appalled;14;44;0.241;58
as new;1;1;0.5;2
bad but;6;6;0.5;12
but it never;2;1;0.667;3
center of;1;4;0.2;5
center of the;1;1;0.5;2
different and;1;2;0.333;3
directs the;5;10;0.333;15
elvis;2;9;0.182;11
if only it;1;1;0.5;2
it also not;1;1;0.5;2
know how;2;2;0.5;4
leaves bad taste;3;2;0.6;5
lil;1;0;1.0;1
phony;1;3;0.25;4
piece the;1;0;1.0;1
prevents the;1;0;1.0;1
and generally;11;20;0.355;31
busting;1;2;0.333;3
got some;2;4;0.333;6
in many;14;23;0.378;37
innocence and;1;1;0.5;2
is off;2;2;0.5;4
life the;1;1;0.5;2
loud and;1;3;0.25;4
accomplishes;3;15;0.167;18
but never;3;3;0.5;6
car chases;3;0;1.0;3
epic treatment;2;5;0.286;7
fallon;3;8;0.273;11
gender;18;44;0.29;62
hanks;3;15;0.167;18
have its;2;5;0.286;7
in character;1;0;1.0;1
in the era;12;35;0.255;47
in the form;3;3;0.5;6
isn worth;3;0;1.0;3
isolation;3;0;1.0;3
like every;6;15;0.286;21
more silly;6;12;0.333;18
nuanced;8;21;0.276;29
nuanced performance;1;0;1.0;1
nuances;1;0;1.0;1
of john;1;1;0.5;2
out as;3;4;0.429;7
born;1;0;1.0;1
but like;3;16;0.158;19
christian love;1;1;0.5;2
if you re;2;4;0.333;6
infinitely;2;11;0.154;13
invest;1;0;1.0;1
is kaufman script;1;4;0.2;5
it if;1;3;0.25;4
movie that as;1;1;0.5;2
nearly as;2;8;0.2;10
one would;14;33;0.298;47
and intelligence;2;0;1.0;2
another best;1;2;0.333;3
comes off;1;5;0.167;6
comes off as;1;2;0.333;3
heartbreak;1;2;0.333;3
hearted;5;7;0.417;12
heartfelt;2;0;1.0;2
his storytelling;1;1;0.5;2
minor miracle;1;0;1.0;1
performances of the;2;0;1.0;2
banger sisters;2;1;0.667;3
being in the;3;3;0.5;6
clashes;1;3;0.25;4
improved upon;4;5;0.444;9
in the final;8;22;0.267;30
is full of;1;5;0.167;6
its makers;7;16;0.304;23
its mark;2;1;0.667;3
movies have;12;27;0.308;39
on top of;1;1;0.5;2
oozes;1;1;0.5;2
oozing;1;1;0.5;2
football;3;4;0.429;7
lampoon film;1;0;1.0;1
men and;3;0;1.0;3
not hold;5;14;0.263;19
and justice;1;0;1.0;1
break through;2;2;0.5;4
combines;1;0;1.0;1
combines the;1;0;1.0;1
commentary;4;10;0.286;14
coral;6;15;0.286;21
cracker;1;5;0.167;6
ensemble comedy that;2;0;1.0;2
es;2;0;1.0;2
filmmakers;1;1;0.5;2
good is;1;2;0.333;3
good it;1;2;0.333;3
narrative logic;1;0;1.0;1
of hell;3;4;0.429;7
an unexpectedly;1;1;0.5;2
and paulette;2;13;0.133;15
armenian;2;2;0.5;4
coffee;2;1;0.667;3
dreary and;5;12;0.294;17
drumline;1;0;1.0;1
duck;1;0;1.0;1
forgettably;1;2;0.333;3
its heart on;1;0;1.0;1
jean reno;5;5;0.5;10
pensar;2;1;0.667;3
at any;2;0;1.0;2
capturing;2;1;0.667;3
capturing the;1;0;1.0;1
cheer;6;18;0.25;24
even be;1;5;0.167;6
franco;2;2;0.5;4
is by no;1;1;0.5;2
issues with;3;3;0.5;6
king;5;6;0.455;11
as hollywood;2;6;0.25;8
comprehensible;4;27;0.129;31
fun at;4;6;0.4;10
fun but;1;4;0.2;5
intensely;1;5;0.167;6
making movies;3;0;1.0;3
almost in;1;4;0.2;5
amari;1;1;0.5;2
but when;1;2;0.333;3
concern;9;20;0.31;29
could just;1;1;0.5;2
delightful comedy;3;10;0.231;13
fine documentary;7;18;0.28;25
fine performances;1;3;0.25;4
has preceded;1;2;0.333;3
hey;1;0;1.0;1
in its;2;3;0.4;5
is above;2;1;0.667;3
it falls short;1;3;0.25;4
movements;1;1;0.5;2
movies this;23;67;0.256;90
mr deeds;1;2;0.333;3
animals;1;0;1.0;1
are all more;1;0;1.0;1
bastard;9;20;0.31;29
blue crush;4;6;0.4;10
demanding;12;25;0.324;37
jump in;1;2;0.333;3
jumps;1;1;0.5;2
of water is;3;11;0.214;14
on which;1;3;0.25;4
overkill;18;32;0.36;50
overrun by;1;0;1.0;1
african american;1;5;0.167;6
and even if;2;2;0.5;4
are still;4;10;0.286;14
cardboard;3;3;0.5;6
denzel washington;1;0;1.0;1
disease of;1;2;0.333;3
farrelly;1;3;0.25;4
know it;1;0;1.0;1
know that;1;0;1.0;1
material in;1;1;0.5;2
notch;1;1;0.5;2
notches;1;1;0.5;2
often than not;10;16;0.385;26
particularly for;1;5;0.167;6
pony;2;9;0.182;11
aggravating;6;9;0.4;15
and an insult;2;2;0.5;4
and another;2;1;0.667;3
as good as;2;0;1.0;2
as gory;1;0;1.0;1
em;1;1;0.5;2
exercise;3;1;0.75;4
insight;6;39;0.133;45
insight and;2;3;0.4;5
insight into the;2;1;0.667;3
insight that;2;1;0.667;3
is worthwhile;1;6;0.143;7
it says;1;0;1.0;1
just as much;3;7;0.3;10
just because;1;2;0.333;3
mixed;1;0;1.0;1
mixed bag;1;0;1.0;1
nevertheless;3;5;0.375;8
about nothing;1;1;0.5;2
accidental;1;2;0.333;3
adventurous;3;5;0.375;8
and telegraphed;2;9;0.182;11
and terrible;1;4;0.2;5
are hardly;8;36;0.182;44
be made;2;1;0.667;3
cinematic equivalent;2;4;0.333;6
dumb;4;7;0.364;11
dumb but;1;0;1.0;1
dumb movie;1;0;1.0;1
handle the;2;1;0.667;3
handled;1;0;1.0;1
hint of;3;1;0.75;4
horrible movie;3;22;0.12;25
movie ever made;1;0;1.0;1
out screaming;15;30;0.333;45
plight of;3;1;0.75;4
all these;1;0;1.0;1
bad company;3;2;0.6;5
be rewarded;1;1;0.5;2
child;3;3;0.5;6
chilling tale;1;1;0.5;2
curiosity;2;8;0.2;10
curiosity about;2;4;0.333;6
displays;5;14;0.263;19
distanced;4;6;0.4;10
few minutes;2;2;0.5;4
few of;2;1;0.667;3
is in his;1;0;1.0;1
it well;3;4;0.429;7
jackie chan;1;0;1.0;1
just what;7;15;0.318;22
of everything;1;2;0.333;3
of evidence;1;1;0.5;2
of extreme;1;0;1.0;1
people who live;2;4;0.333;6
posturing;12;22;0.353;34
potential as;5;4;0.556;9
collision of;1;4;0.2;5
community theater;1;7;0.125;8
como;1;1;0.5;2
last 20;6;9;0.4;15
audience will;1;0;1.0;1
barely feature;2;3;0.4;5
bullets for;1;2;0.333;3
gets full;3;5;0.375;8
gets off the;1;1;0.5;2
in flat;1;1;0.5;2
it impossible to;3;5;0.375;8
clearly;2;10;0.167;12
dumas classic;4;3;0.571;7
has learned;2;1;0.667;3
just about everything;1;0;1.0;1
larger than;1;0;1.0;1
meaningful;1;1;0.5;2
nothing about;5;23;0.179;28
and bullock;1;0;1.0;1
are fascinating;1;7;0.125;8
are few;1;2;0.333;3
audience with;1;1;0.5;2
diesel;1;1;0.5;2
for cheap;1;0;1.0;1
is every bit;1;6;0.143;7
james bond movie;3;7;0.3;10
prison;2;1;0.667;3
and over the;1;0;1.0;1
and overly;1;0;1.0;1
brought;1;1;0.5;2
detective;2;6;0.25;8
drop dead;1;1;0.5;2
extreme ops;2;0;1.0;2
gibberish;1;0;1.0;1
miss;2;16;0.111;18
of life;8;22;0.267;30
of life in;1;0;1.0;1
past;13;38;0.255;51
and time;4;10;0.286;14
as much as;2;3;0.4;5
guys is;1;2;0.333;3
idemoto;4;6;0.4;10
camera than;9;18;0.333;27
good old;2;1;0.667;3
good old fashioned;2;0;1.0;2
harland williams;1;5;0.167;6
in another;1;4;0.2;5
into an;1;1;0.5;2
into another;1;1;0.5;2
it from;16;31;0.34;47
likable;2;4;0.333;6
middle of the;4;4;0.5;8
no discernible;1;8;0.111;9
of matthew shepard;1;5;0.167;6
overwhelms the;1;3;0.25;4
poignant and;3;25;0.107;28
family film;1;0;1.0;1
first film;1;1;0.5;2
first frame to;1;1;0.5;2
is slight;5;11;0.312;16
lost the;2;3;0.4;5
mystery science theater;1;4;0.2;5
again and;1;0;1.0;1
behaving badly;5;16;0.238;21
behavior;2;1;0.667;3
detailing;1;0;1.0;1
execution of;1;4;0.2;5
ins;1;0;1.0;1
interrupted;7;13;0.35;20
intertwined;3;6;0.333;9
interview;1;1;0.5;2
is life affirming;1;1;0.5;2
it cannot;4;9;0.308;13
it work of;1;8;0.111;9
narrative of;1;3;0.25;4
of dealing;20;48;0.294;68
of familial;1;1;0.5;2
of family;1;0;1.0;1
only dull;3;3;0.5;6
dismissed;5;5;0.5;10
even more;2;0;1.0;2
failure to;1;4;0.2;5
film is not;1;0;1.0;1
folks it;2;0;1.0;2
him;1;0;1.0;1
keep parents;1;15;0.062;16
like all;12;21;0.364;33
mart;2;2;0.5;4
michelle;1;0;1.0;1
patch adams;3;7;0.3;10
patchy;2;1;0.667;3
and you ve;1;2;0.333;3
anything else;5;23;0.179;28
case with;4;7;0.364;11
director tom;1;7;0.125;8
director walter hill;1;1;0.5;2
film about;1;2;0.333;3
for director;2;1;0.667;3
is pleasant enough;2;7;0.222;9
alfred hitchcock;1;0;1.0;1
attention to detail;10;13;0.435;23
beijing;2;2;0.5;4
bring fresh;1;0;1.0;1
do in;4;7;0.364;11
does leave;4;4;0.5;8
doesn give us;1;1;0.5;2
doesn go;1;1;0.5;2
dread;3;6;0.333;9
eloquently;3;12;0.2;15
else this;1;1;0.5;2
ends in;3;6;0.333;9
especially as;3;6;0.333;9
few points;2;1;0.667;3
is little;4;13;0.235;17
it weren;1;0;1.0;1
life but;1;0;1.0;1
overstated;1;2;0.333;3
pathetic as;6;14;0.3;20
pathology;1;1;0.5;2
pauly;13;28;0.317;41
and pieces of;1;0;1.0;1
bring on;4;10;0.286;14
bullwinkle;1;0;1.0;1
by the people;10;24;0.294;34
clasico;14;25;0.359;39
classics;2;3;0.4;5
escape from;3;0;1.0;3
feels as;2;7;0.222;9
gai;1;1;0.5;2
it fails;1;0;1.0;1
leaks;3;5;0.375;8
of vignettes;2;3;0.4;5
of violence;2;3;0.4;5
able;1;0;1.0;1
barely stays afloat;4;7;0.364;11
be given;2;4;0.333;6
black comedy;1;0;1.0;1
bled;1;3;0.25;4
by mr;1;2;0.333;3
by way of;1;0;1.0;1
could say;2;2;0.5;4
glimmer;1;0;1.0;1
idiocy of;1;1;0.5;2
of french cinema;4;7;0.364;11
of tolkien;1;0;1.0;1
cobbled together;1;1;0.5;2
coming back;2;5;0.286;7
director dover kosashvili;1;4;0.2;5
director george;1;2;0.333;3
kind of material;2;6;0.25;8
marks;2;10;0.167;12
an awkward;2;8;0.2;10
as straight drama;1;1;0.5;2
cipher;1;0;1.0;1
distinguished;3;3;0.5;6
everything its;2;7;0.222;9
exudes the;1;1;0.5;2
flawed film;2;0;1.0;2
low tech;3;16;0.158;19
lower;1;0;1.0;1
ludicrous;6;19;0.24;25
numbingly;1;2;0.333;3
piano;1;13;0.071;14
an angel;1;0;1.0;1
as teen;1;1;0.5;2
by david;1;0;1.0;1
by its;1;2;0.333;3
confused;5;5;0.5;10
confusing;5;5;0.5;10
elegant;7;20;0.259;27
genre is;1;7;0.125;8
order to;4;3;0.571;7
famuyiwa;9;11;0.45;20
has made in;1;2;0.333;3
phillip noyce;1;1;0.5;2
an incredibly;2;9;0.182;11
early 80s;1;0;1.0;1
engrossing;1;0;1.0;1
fun in this;11;18;0.379;29
is all too;3;32;0.086;35
is an earnest;1;2;0.333;3
mighty;4;6;0.4;10
musical;1;7;0.125;8
not everything;1;3;0.25;4
on true;1;6;0.143;7
phenomenon;1;5;0.167;6
photo;1;1;0.5;2
powers in goldmember;1;1;0.5;2
premise and;5;14;0.263;19
probably not;3;2;0.6;5
cube;3;6;0.333;9
hard to resist;3;5;0.375;8
has just;1;0;1.0;1
movies or;3;5;0.375;8
10th;1;3;0.25;4
comedy the;4;20;0.167;24
comes;2;3;0.4;5
elizabeth;1;3;0.25;4
gives performance;1;4;0.2;5
insipid;2;13;0.133;15
into comedy;1;1;0.5;2
masterpiece and;1;4;0.2;5
might want to;1;0;1.0;1
perspective of;2;2;0.5;4
pleasure in;5;11;0.312;16
outsiders;5;15;0.25;20
pressure;4;1;0.8;5
contrived overblown and;1;3;0.25;4
following your;1;1;0.5;2
fresh faced;1;0;1.0;1
is rich;1;0;1.0;1
is ripe;1;0;1.0;1
action movie but;1;0;1.0;1
and its audience;1;0;1.0;1
appears that;7;14;0.333;21
blob;1;1;0.5;2
can stomach;1;1;0.5;2
character piece;1;1;0.5;2
director sam;1;2;0.333;3
family drama and;1;0;1.0;1
family dynamics;1;0;1.0;1
